Today 8/3/1997 is a day that we will never forget. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 08/04/1997 (B) 12/04/1996 (C) 08/04/1901 (D) 08/04/2004 (E) 08/01/1997 (F) 08/07/1997,The day after 8/3/1997 is 8/4/1997. Therefore among A through F the answer is A.
Today is Apr 10 1985. Jane's appointment will be 3 days later. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 04/03/1985 (B) 03/10/1986 (C) 04/12/1986 (D) 04/13/1985 (E) 05/13/1985 (F) 04/01/1985,Today is Apr 10 1985. Jane's appointment will be 3 days later. That means Jane's appointment is on Apr 13 1985. One week ago from today would be Apr 3 1985. Therefore among A through F the answer is A.
It is 4/19/1969 today. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 04/19/1968 (B) 04/20/1968 (C) 07/01/1968 (D) 06/19/1967 (E) 05/06/1968 (F) 04/18/1968,One year ago from today would be 4/19/1968. Therefore among A through F the answer is A.
Jane and John married on Jan 2 1958. Today is their golden wedding anniversary. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 01/02/2007 (B) 03/24/2007 (C) 01/01/2007 (D) 04/05/2007 (E) 01/02/1957 (F) 01/02/2037,The golden wedding anniversary is when a couple has been married for 50 years. Therefore one year ago from their golden anniversary would be when the couple had been married for 49 years. Since they were married on January 2 1958 one year ago from their golden anniversary would be January 2 2007. The answer is (A). Therefore among A through F the answer is A.
Today is the last day of the first quarter of 2008. What is the date 10 days ago in MM/DD/YYYY? Answer Choices: (A) 03/21/2008 (B) 03/22/2008 (C) 10/21/2008 (D) 06/04/2008 (E) 03/21/2104 (F) 06/24/2008,The last day of the first quarter of 2008 is March 31 2008. 10 days ago would be March 21 2008. Therefore the answer is A. Therefore among A through F the answer is A.
Jane and John married on Jan 2 1958. It is their 5-year anniversary today. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 12/26/1959 (B) 01/02/1967 (C) 06/02/1960 (D) 01/02/2016 (E) 01/02/1960 (F) 12/19/1959,The question is asking for the date one year ago from today. Today is their 5-year anniversary so today's date is 01/02/1963. One year ago from today would be 01/02/1962. Therefore the answer is (E) 01/02/1960. Therefore among A through F the answer is E.
The day before yesterday was 11/23/1933. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 12/02/1933 (B) 12/23/1933 (C) 12/02/1974 (D) 11/11/1933 (E) 12/16/1933 (F) 11/25/1933,The day before yesterday was 11/23/1933. So yesterday was 11/24/1933. Today is 11/25/1933. Tomorrow is 11/26/1933. The day after tomorrow is 11/27/1933. The day after that is 11/28/1933. So one week from today is 12/02/1933. Therefore among A through F the answer is A.
Today is 3/5 and it is Jane's second time in the year 1973 to see a meteor shower. What is the date today in MM/DD/YYYY? Answer Choices: (A) 04/05/1973 (B) 03/05/1973 (C) 01/22/2007 (D) 01/02/1973 (E) 03/02/1973 (F) 03/08/1983,First we are given that it is Jane's second time in the year 1973 to see a meteor shower. This means that the first time she saw a meteor shower in 1973 was on an earlier date. Second we are told that the date today is 3/5. This means that the date today is March 5th. Third we are given a list of possible dates. We can eliminate some of these dates based on what we know. For example we know that the date cannot be January 22nd 2007 because that is not in the year 1973. Fourth Therefore among A through F the answer is B 03/05/1973.
Jane was born on the last day of Feburary in 2000. Today is her 16-year-old birthday. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 03/08/2015 (B) 02/28/2015 (C) 03/28/2015 (D) 04/28/2015 (E) 02/21/2015 (F) 03/10/2015,Jane's 16th birthday is on 02/28/2016. One year ago from Jane's 16th birthday would be 02/28/2015. Therefore among A through F the answer is B.
Jane got her job in 2016. Today is her 3-year work anniversary. She still remember that on Dec 2 her second day at work she spilled coffee on her laptop. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 08/08/2019 (B) 12/08/2019 (C) 12/08/2075 (D) 12/10/2019 (E) 12/08/2022 (F) 12/22/2019,Jane's second day at work was December 2. One week from December 2 is December 9. Therefore the date one week from today is 12/09/2019. Therefore among A through F the answer is B.
Jane booked a flight for tomorrow Jul 29 2002. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 07/20/2002 (B) 11/21/2001 (C) 10/21/2002 (D) 07/21/2002 (E) 10/17/2002 (F) 08/18/2002,Jane booked a flight for tomorrow Jul 29 2002. The day before tomorrow would be Jul 28 2002. One week ago from tomorrow would be Jul 22 2002. Therefore among A through F the answer is D.
Jane was born on the last day of Feburary in 2001. Today is her 16-year-old birthday. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 02/28/1992 (B) 03/31/2016 (C) 02/28/2015 (D) 02/28/2016 (E) 03/06/2016 (F) 03/27/2016,Jane's 16th birthday is on 02/28/2017. One year ago from today would be 02/28/2016. Therefore among A through F the answer is D.
Today 8/3/1997 is a day that we will never forget. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 08/02/2026 (B) 08/02/1999 (C) 08/01/1997 (D) 08/02/1997 (E) 02/02/1997 (F) 07/02/1997,The question is asking for the date yesterday in MM/DD/YYYY format. The given date is 8/3/1997. To get yesterday's date we need to subtract 1 day from 8/3/1997. 8/3/1997 - 1 day = 8/2/1997Therefore the answer is (D) 8/2/1997. Therefore among A through F the answer is D.
Yesterday was April 30 2021. What is the date today in MM/DD/YYYY? Answer Choices: (A) 04/29/2021 (B) 05/01/2021 (C) 02/23/2021 (D) 06/12/2021 (E) 03/11/2021 (F) 05/09/2021,Yesterday was April 30 2021. The day before that was April 29 2021. Therefore today is April 30 2021. Therefore among A through F the answer is B.
On May 9th 2017 Jane bought 40 eggs. She ate one per day. Today she ran out of eggs. What is the date today in MM/DD/YYYY? Answer Choices: (A) 06/18/2054 (B) 06/18/2016 (C) 06/18/2017 (D) 07/16/2017 (E) 12/18/2016 (F) 06/17/2017,May 9th 2017 is 5/9/2017. 40 days later would be 6/18/2017. Therefore the answer is C. Therefore among A through F the answer is C.
Jane and John married on Jan 2 1958. It is their 5-year anniversary today. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 01/03/1961 (B) 01/11/1961 (C) 01/18/1961 (D) 10/14/1960 (E) 01/03/1982 (F) 12/03/1960,The first thing to note is that the question is asking for the date TOMORROW not today. Today is their 5-year anniversary. 5 years ago they were married on Jan 2 1958. Therefore tomorrow is Jan 3 1963. The answer is (A). Therefore among A through F the answer is A.
Today 8/3/1997 is a day that we will never forget. What is the date 10 days ago in MM/DD/YYYY? Answer Choices: (A) 10/24/1997 (B) 07/24/1997 (C) 08/21/1997 (D) 06/11/1997 (E) 07/23/1997 (F) 08/14/1997,The day 10 days ago would be 8/3 - 10 which is 8/23/1997. Therefore among A through F the answer is B.
In the US Thanksgiving is on the fourth Thursday of November. Today is the US Thanksgiving of 2001. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 12/06/2002 (B) 11/15/2009 (C) 02/10/2003 (D) 12/13/2002 (E) 11/15/1961 (F) 11/15/2002,Today is Thanksgiving of 2001 which means that today is the fourth Thursday of November. One week ago would be the third Thursday of November. Therefore one week ago from today would be 11/15/2001. Therefore among A through F the answer is F.
Today is Christmas Eve of 1937. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 12/25/1937 (B) 11/12/1937 (C) 02/26/1938 (D) 12/18/1937 (E) 11/09/1937 (F) 12/24/1937,The day after Christmas Eve of 1937 is Christmas Day of 1937 which is 12/25/1937. Therefore among A through F the answer is A.
Jane thought today is 3/11/2002 but today is in fact Mar 12 which is 1 day later. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 03/19/2002 (B) 11/19/2002 (C) 05/13/2002 (D) 03/26/2002 (E) 03/20/2002,Jane thinks today is 3/11/2002 which means that one week from today would be 3/18/2002. However today is actually Mar 12 which is 1 day later. Therefore one week from today would be 3/19/2002. The answer is (A). Therefore among A through F the answer is A.
2015 is coming in 36 hours. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 01/05/2015 (B) 01/04/2015 (C) 12/05/2014 (D) 01/05/1938 (E) 01/06/2015 (F) 01/07/2015,Today is 12/29/2014. One week from today would be 01/05/2015. Therefore among A through F the answer is A.
This is the last day of 1899. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 02/11/1899 (B) 12/03/1898 (C) 01/11/1899 (D) 12/25/1898 (E) 12/31/1898,The last day of 1899 is 12/31/1899. One year ago from that would be 12/31/1898. Therefore among A through F the answer is E.
It is 4/19/1969 today. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 06/21/1969 (B) 05/18/1969 (C) 04/20/1969 (D) 01/18/1969 (E) 04/16/1969 (F) 05/11/1969,4/19/1969 is the date. 24 hours later would be 4/20/1969. Therefore among A through F the answer is C.
Jane and John married on Jan 2 1958. It is their 5-year anniversary today. What is the date 10 days ago in MM/DD/YYYY? Answer Choices: (A) 12/23/1915 (B) 12/22/1960 (C) 10/09/1960 (D) 12/23/1960 (E) 12/30/1960 (F) 12/23/2003,The 5-year anniversary is Jan 2 1963. 10 days ago would be Dec 23 1962. Therefore the answer is (D). Therefore among A through F the answer is D.
Today is the second day of the third month of 1966. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 02/28/1966 (B) 03/03/1966 (C) 03/02/1966 (D) 03/04/1966 (E) 03/24/1966,The second day of the third month is the 2nd. The day after the 2nd is the 3rd. Therefore the date tomorrow is 03/03/1966. Therefore among A through F the answer is B.
The current local time is 3:02 pm of 5/4/2004. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 04/27/2003 (B) 04/27/2004 (C) 04/28/2004 (D) 05/18/2004 (E) 05/27/2004 (F) 04/24/2004,The current local time is 3:02 pm of 5/4/2004. That means it is currently May 4th 2004. If we go back one week that would be April 27th 2004. Therefore the answer is (B). Therefore among A through F the answer is (B).
Today is Apr 10 1985. Jane's appointment will be 3 days later. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 04/09/1985 (B) 03/10/1986 (C) 04/10/1985 (D) 04/07/1985 (E) 05/13/1985 (F) 04/11/1986,Jane's appointment is in 3 days so that means the appointment is on Apr 13 1985. Yesterday would be Apr 12 1985. The answer is (A). Therefore among A through F the answer is A.
This is the last day of 1899. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 10/07/1900 (B) 01/07/1900 (C) 02/22/1900 (D) 01/07/1828 (E) 01/13/1900 (F) 02/07/1900,The last day of 1899 is 12/31/1899. One week from that would be 7 days later which would be 1/7/1900. Therefore the answer is (B). Therefore among A through F the answer is (B).
The current local time is 3:02 pm of 5/4/2004. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 05/10/2004 (B) 05/26/2004 (C) 05/11/2004 (D) 06/03/2004 (E) 05/03/2004 (F) 04/30/2004,The current local time is 3:02 pm of 5/4/2004. That means that it is currently 3:02 pm on May 4th 2004. Yesterday would be May 3rd 2004. Therefore the answer is 05/03/2004. Therefore among A through F the answer is E.
Tomorrow is 11/12/2019. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 03/04/2020 (B) 02/04/2020 (C) 10/30/2019 (D) 11/04/2019 (E) 11/04/2103 (F) 11/07/2019,One week ago from today would be 11/05/2019. The answer is (D). Therefore among A through F the answer is D.
Today is Sep 9 1909. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 09/16/1909 (B) 09/16/1952 (C) 08/22/1909 (D) 09/16/1876 (E) 10/14/1909 (F) 12/16/1909,One week from today would be September 16th. The year is still 1909 so the answer is 09/16/1909. Therefore among A through F the answer is A.
Jane was born on the last day of Feburary in 2001. Today is her 16-year-old birthday. What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 02/03/2017 (B) 01/28/2017 (C) 01/21/2017 (D) 11/12/2016 (E) 01/14/2017,Jane's 16th birthday is on 02/28/2017. A month ago would be 01/28/2017. Therefore among A through F the answer is B.
Today is 3/5 and it is Jane's second time in the year 1973 to see a meteor shower. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 01/02/1973 (B) 03/08/1983 (C) 04/05/1973 (D) 03/05/2007 (E) 03/06/1973 (F) 03/02/1973,First we need to find out which meteor shower Jane saw on 3/5. According to this website the only meteor shower that took place on 3/5 was the Phoenicids. Next we need to find out when the next Phoenicids meteor shower will take place. According to this website the next Phoenicids meteor shower will take place on 12/5. Therefore the date tomorrow in MM/DD/YYYY is 12/06/1973. Therefore among A through F the answer is E.
This is the last day of 1899. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 12/24/1802 (B) 03/12/1900 (C) 12/24/1899 (D) 12/17/1899 (E) 01/02/1900 (F) 05/24/1900,One week ago from December 31st 1899 would be December 24th 1899. Therefore among A through F the answer is C.
Jane was born on the last day of Feburary in 2000. Today is her 16-year-old birthday. What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 07/29/2015 (B) 02/02/2016 (C) 01/29/2016 (D) 11/08/2015 (E) 01/30/2016 (F) 05/04/2016,Jane's 16th birthday is on 02/29/2016. A month ago would be 01/29/2016. Therefore among A through F the answer is C.
Jane got her job in 2016. Today is her 3-year work anniversary. She still remember that on Dec 2 her second day at work she spilled coffee on her laptop. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 12/02/2019 (B) 12/01/2019 (C) 12/02/1950 (D) 08/02/2020 (E) 01/02/2020 (F) 11/18/2019,Jane got her job in 2016. That means that her 3-year work anniversary is in 2019. Her second day at work was December 2. Therefore tomorrow's date is December 3 2019. The answer is (A). Therefore among A through F the answer is A.
May 6 1992 is like yesterday to Jane but that is actually ten years ago. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 05/05/1902 (B) 05/05/2002 (C) 05/26/2002 (D) 05/01/2002 (E) 05/05/2001 (F) 05/05/2084,Jane says that May 6 1992 is like yesterday. That means that to her it feels like it just happened recently. In other words it feels like the date is still May 6 1992. However we know that the actual date is ten years later or May 6 2002. Therefore the date yesterday would be May 5 2002. The answer is (B). Therefore among A through F the answer is (B).
It is 4/19/1969 today. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 04/27/1969 (B) 04/19/1969 (C) 03/21/1969 (D) 04/18/1969 (E) 04/18/1961,The day before 4/19/1969 was 4/18/1969. Therefore among A through F the answer is D.
In the UK people usually put the day before the month when formatting the date. Therefore today is 02/01/1987 to them. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 01/09/1987 (B) 01/09/2023 (C) 01/09/1948 (D) 01/23/1987 (E) 03/17/1987 (F) 01/08/1987,The day one week from today is 09/01/1987. In the UK people usually put the day before the month when formatting the date. Therefore the date one week from today in MM/DD/YYYY is 01/09/1987. Therefore among A through F the answer is A.
This is the last day of 1899. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 01/01/1900 (B) 01/02/1900 (C) 03/27/1900 (D) 01/01/1845 (E) 12/31/1899 (F) 01/01/1964,The last day of 1899 is 12/31/1899. 24 hours later would be 12/31 at 11:59 PM which would turn into 01/01/1900 at 12:00 AM. Therefore the answer is (A) 01/01/1900. Therefore among A through F the answer is A.
Jane thinks today is 6/18/2019 but John thinks today is 6/19/2019. John is correct. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 06/20/2019 (B) 06/25/2019 (C) 12/20/2018 (D) 06/10/2019 (E) 02/20/2019,Jane thinks today is 6/18/2019. John thinks today is 6/19/2019. John is correct. Therefore tomorrow is 6/20/2019. Therefore among A through F the answer is A.
It was Sept. 1st 2021 a week ago. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 09/07/2020 (B) 07/08/2020 (C) 08/18/2020 (D) 09/08/2049 (E) 08/31/2020 (F) 09/08/2020,One year ago from today would be 2020. Today is September 8th so one year ago would be September 8th 2020. The answer is (F). Therefore among A through F the answer is (F).
Jane and John married on Jan 2 1958. It is their 5-year anniversary today. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 01/04/1961 (B) 01/02/1961 (C) 01/01/1961 (D) 01/03/1964 (E) 01/03/1961 (F) 12/03/1960,The 5-year anniversary is on Jan 2 1963. 24 hours later would be Jan 3 1963. Therefore among A through F the answer is E.
Yesterday Jan 21 2011 Jane ate 2 pizzas and 5 wings. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 12/26/2010 (B) 01/23/2072 (C) 01/23/2011 (D) 02/20/2011 (E) 01/24/2011,Yesterday Jan 21 2011 Jane ate 2 pizzas and 5 wings. The day after Jan 21 is Jan 22. 24 hours after Jan 22 is Jan 23. Therefore the date 24 hours later in MM/DD/YYYY is 01/23/2011. Therefore among A through F the answer is C.
Today is the second day of the third month of 1966. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 03/02/1966 (B) 03/03/1965 (C) 03/03/2021 (D) 03/04/1966 (E) 03/03/1966 (F) 04/03/1966,The day after the second day of the third month of 1966 is the third day of the third month of 1966. Therefore the date 24 hours later in MM/DD/YYYY is 03/03/1966. Therefore among A through F the answer is E.
This is the last day of 1899. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 01/08/1900 (B) 01/22/1900 (C) 02/06/1900 (D) 01/01/1827 (E) 01/01/1899 (F) 01/01/1900,The last day of 1899 is December 31 1899. The next day is January 1 1900. Therefore the date tomorrow in MM/DD/YYYY is 01/01/1900. Therefore among A through F the answer is F.
Jane visits the bookstore on the 16th of each month starting from the October of 2009. It is her 5th visit to the bookstore today. What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 01/17/2010 (B) 01/16/2010 (C) 01/15/2010 (D) 10/09/2009 (E) 12/19/2009 (F) 02/11/2010,Jane visits the bookstore on the 16th of each month. The fifth visit would be the 16th of the fifth month or the 16th of May. A month ago would be the 16th of April. Therefore the answer is 01/16/2010. Therefore among A through F the answer is B.
Yesterday was 12/31/1929. Today could not be 12/32/1929 because December has only 31 days. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 01/01/1891 (B) 08/01/1929 (C) 01/08/1929 (D) 01/01/1994 (E) 01/01/1929 (F) 01/01/1898,The date one year ago from December 31 1929 would be December 31 1928. The date one year ago from December 32 1929 would be January 1 1929. Therefore the answer is E. Therefore among A through F the answer is E.
The first day of 2019 is a Tuesday and today is the first Monday of 2019. What is the date today in MM/DD/YYYY? Answer Choices: (A) 01/07/2019 (B) 10/28/2018 (C) 01/12/2019 (D) 12/24/2018 (E) 12/31/2018 (F) 01/06/2019,The first day of 2019 is a Tuesday. Today is the first Monday of 2019. Therefore today is 01/07/2019. Therefore among A through F the answer is A.
Today is Sep 9 1909. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 09/02/1906 (B) 08/19/1909 (C) 09/02/1909 (D) 09/02/1864 (E) 09/02/1832 (F) 05/02/1909,One week ago would be 7 days or 168 hours or 10080 minutes or 604800 seconds ago. Therefore the date one week ago from today would be 09/02/1909. Therefore among A through F the answer is C.
Jane thought today is 3/11/2002 but today is in fact Mar 12 which is 1 day later. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 03/13/2002 (B) 08/13/2001 (C) 03/10/2002 (D) 12/13/2001 (E) 03/14/2002 (F) 02/27/2002,Jane thinks today is 3/11/2002 which means that tomorrow to her is 3/12/2002. However in reality today is 3/12/2002 which means that tomorrow is 3/13/2002. Therefore the answer is A. Therefore among A through F the answer is A.
Today is the first day of 2007. What is the date today in MM/DD/YYYY? Answer Choices: (A) 05/01/2007 (B) 01/01/1951 (C) 12/18/2006 (D) 01/01/2007 (E) 01/22/2007 (F) 01/01/2096,Today is the first day of 2007. The year is 2007. The day is 1. Therefore the date is 01/01/2007. Therefore among A through F the answer is D.
Today is 3/5 and it is Jane's second time in the year 1973 to see a meteor shower. What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 03/05/2007 (B) 01/02/1973 (C) 03/08/1983 (D) 03/05/1973 (E) 02/05/1973 (F) 04/05/1973,The question is asking for the date a month ago from 03/05/1973. A month ago would be 02/05/1973. Therefore among A through F the answer is E.
Jane is celebrating the last day of Jan 2012. What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 12/31/2108 (B) 03/29/2012 (C) 12/31/2074 (D) 12/21/2011 (E) 12/30/2011 (F) 12/31/2011,The last day of Jan 2012 is 1/31/2012. A month ago would be 12/31/2011. Therefore among A through F the answer is F.
The first day of 2019 is a Tuesday and today is the first Monday of 2019. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 01/07/2018 (B) 01/02/2018 (C) 05/07/2017 (D) 01/08/2018 (E) 01/12/2018 (F) 10/29/2017,The first day of 2019 is a Tuesday. Today is the first Monday of 2019. That means that yesterday was Sunday the last day of 2018. Therefore one year ago from today was 01/01/2018. Therefore among A through F the answer is A.
Today is the last day of the first quarter of 2008. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 01/17/2008 (B) 04/01/2063 (C) 03/22/2008 (D) 04/01/2008 (E) 03/31/2008 (F) 04/01/2007,The first quarter of 2008 ends on March 31 2008. 24 hours later would be April 1 2008. Therefore among A through F the answer is D.
Jane quited her job on Mar 20 2020. 176 days have passed since then. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 06/19/2020 (B) 09/18/2020 (C) 09/30/2020 (D) 09/19/2020 (E) 09/20/2020,Jane quited her job on Mar 20 2020. That means that 176 days have passed since then. To find out what the date is one week from today we need to add 7 days to the current date. 176 + 7 = 183 Therefore one week from today the date is 09/19/2020. Therefore among A through F the answer is D.
Today is the first day of 2007. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 04/01/2006 (B) 01/01/2006 (C) 10/01/2005 (D) 01/01/2098 (E) 11/13/2005 (F) 10/21/2005,One year ago from today would be January 1st 2006. Therefore the answer is 01/01/2006. Therefore among A through F the answer is B.
Jane booked a flight for tomorrow Jul 29 2002. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 08/03/2002 (B) 08/04/2002 (C) 08/04/1930 (D) 10/22/2002 (E) 07/04/2003 (F) 06/03/2002,Jane booked a flight for tomorrow Jul 29 2002. The date one week from today would be Aug 5 2002. Therefore among A through F the answer is B.
Today is 3/5 and it is Jane's second time in the year 1973 to see a meteor shower. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 03/05/1973 (B) 03/04/1973 (C) 03/05/1983 (D) 04/05/1973 (E) 01/02/1973 (F) 03/04/2007,First we know that it is Jane's second time in the year 1973 to see a meteor shower. This means that the first time she saw a meteor shower in 1973 was on an earlier date. Second we are given the information that today is 3/5. This means that yesterday was 3/4. Therefore the answer is B: 03/04/1973. Therefore among A through F the answer is B.
Today is Sep 9 1909. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 09/24/1909 (B) 07/03/1909 (C) 12/10/1909 (D) 08/13/1909 (E) 09/10/1892 (F) 09/10/1909,The day after September 9 1909 would be September 10 1909. Therefore the correct answer is (F). Therefore among A through F the answer is (F).
In the US Thanksgiving is on the fourth Thursday of November. Today is the US Thanksgiving of 2001. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 06/23/2003 (B) 11/24/2002 (C) 12/01/2002 (D) 11/23/2002 (E) 05/23/2002,The fourth Thursday of November 2001 is November 22 2001. 24 hours later would be November 23 2001. Therefore the answer is D. Therefore among A through F the answer is D.
The deadline is Jun 1 2021 which is 2 days away from now. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 07/29/2021 (B) 06/12/2021 (C) 05/29/2021 (D) 06/17/2021 (E) 05/22/2021 (F) 06/05/2021,The deadline is Jun 1 2021. That means that Jun 1 is the last day so the day before Jun 1 is May 31. Therefore the answer is 05/31/2021. Therefore among A through F the answer is C.
It was Sept. 1st 2021 a week ago. What is the date today in MM/DD/YYYY? Answer Choices: (A) 09/22/2021 (B) 09/09/2021 (C) 09/08/2006 (D) 09/08/2021 (E) 09/07/2021 (F) 08/11/2021,A week ago was Sept. 1st 2021. 7 days later would be Sept. 8th 2021. Therefore the answer is (D). Therefore among A through F the answer is D.
Yesterday was April 30 2021. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 04/27/2021 (B) 05/10/2021 (C) 05/09/2021 (D) 05/08/2021 (E) 03/13/2021 (F) 04/10/2021,One week from today would be 7 days later which would be May 7 2021. Therefore the answer is 05/07/2021. Therefore among A through F the answer is D.
Jane was born on the last day of Feburary in 2000. Today is her 16-year-old birthday. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 02/22/2016 (B) 11/22/2016 (C) 04/22/2015 (D) 02/23/2016 (E) 06/22/2015 (F) 04/22/2016,Jane's 16th birthday is on 02/29/2016. One week ago would be 02/22/2016. Therefore among A through F the answer is A.
Today is the last day of the first quarter of 2008. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 09/07/2008 (B) 04/06/2008 (C) 10/07/2008 (D) 04/07/2008 (E) 04/15/2008 (F) 03/24/2008,Today is the last day of the first quarter of 2008. One week from today would be the 8th day of the second quarter of 2008. Therefore the date one week from today is 04/08/2008. Therefore among A through F the answer is D.
May 6 1992 is like yesterday to Jane but that is actually ten years ago. What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 04/05/2002 (B) 04/06/1975 (C) 04/13/2002 (D) 09/06/2002 (E) 04/15/2002 (F) 04/06/2002,Jane says that May 6 1992 is like yesterday which means it is very recent to her. However the question is asking for the date a month ago from that which would be April 6 1992. The answer is (F). Therefore among A through F the answer is (F).
Jane was born on the last day of Feburary in 2001. Today is her 16-year-old birthday. What is the date today in MM/DD/YYYY? Answer Choices: (A) 02/07/2017 (B) 08/28/2017 (C) 02/28/2017 (D) 03/01/2017 (E) 01/28/2018 (F) 02/22/2017,Jane was born on February 28th 2001. Today 16 years later is February 28th 2017. The date today is 02/28/2017. Therefore among A through F the answer is C.
Jane was born on the last day of Feburary in 2000. Today is her 16-year-old birthday. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 02/23/2016 (B) 03/06/2016 (C) 03/07/2070 (D) 03/08/2016 (E) 03/07/2016,Jane's 16th birthday is on 2/29/2016 which is a leap year. One week from 2/29/2016 would be 3/7/2016.  Therefore among A through F the answer is E.
Jane was born on the last day of Feburary in 2000. Today is her 16-year-old birthday. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 06/01/2016 (B) 02/28/2016 (C) 03/13/2016 (D) 11/28/2015 (E) 04/28/2016 (F) 02/21/2016,Jane was born on February 29th 2000. February 29th only occurs during leap years so 2000 was a leap year. Jane turned 16 yesterday so that means that 16 years ago was 2004. 2004 was also a leap year. Therefore the date yesterday was February 28th 2016. The answer is B. Therefore among A through F the answer is B.
The concert was scheduled to be on 06/01/1943 but was delayed by one day to today. What is the date 10 days ago in MM/DD/YYYY? Answer Choices: (A) 10/23/1942 (B) 05/21/1943 (C) 07/01/1943 (D) 05/23/1943 (E) 05/24/1943,The concert was scheduled to be on 06/01/1943. The concert was delayed by one day. The concert is today. Today's date is 06/11/1943. 10 days ago would be 05/31/1943. The answer is D. Therefore among A through F the answer is D.
The current local time is 3:02 pm of 5/4/2004. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 05/07/2004 (B) 05/05/2004 (C) 05/06/2004 (D) 06/10/2004 (E) 03/18/2004,The current local time is 3:02 pm of 5/4/2004. 24 hours later would be 3:02 pm of 5/5/2004. Therefore the date 24 hours later in MM/DD/YYYY is 05/05/2004. Therefore among A through F the answer is B.
The day before yesterday was 11/23/1933. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 12/16/1933 (B) 11/11/1933 (C) 11/17/1933 (D) 11/18/1933 (E) 11/13/1933 (F) 11/04/1933,The day before yesterday was 11/23/1933. That means yesterday was 11/24/1933. If yesterday was 11/24/1933 then today is 11/25/1933. One week ago from today would be 11/18/1933. Therefore the correct answer is (D). Therefore among A through F the answer is D.
